geoid,state_abbr,office,year,abs_margin,dem_margin,power,voting_power
01,AL,president,2016,27.725146606435423,-27.725146606435423,0.4182156133828996,0.015084342720331205
02,AK,president,2016,14.730640787425301,-14.730640787425301,0.13940520446096655,0.009463621201052484
04,AZ,president,2016,3.5455946276278434,-3.5455946276278434,0.5111524163568774,0.14416549832682382
05,AR,president,2016,26.920978034467357,-26.920978034467357,0.2788104089219331,0.010356622577566376
06,CA,president,2016,30.109293066118443,30.109293066118443,2.5557620817843865,0.08488283255844187
08,CO,president,2016,4.905583011416362,4.905583011416362,0.4182156133828996,0.08525298877006476
09,CT,president,2016,13.639386717895094,13.639386717895094,0.3252788104089219,0.023848492394614115
10,DE,president,2016,11.430512466314907,11.430512466314907,0.13940520446096655,0.012195884031602785
11,DC,president,2016,86.41350075981764,86.41350075981764,0.13940520446096655,0.0016132340807304742
12,FL,president,2016,1.1986256107856879,-1.1986256107856879,1.3475836431226766,1.1242740276835468
13,GA,president,2016,5.131342697410184,-5.131342697410184,0.7434944237918215,0.14489276348022265
15,HI,president,2016,31.541090882503475,31.541090882503475,0.18587360594795538,0.005893062058010919
16,ID,president,2016,31.769418548217686,-31.769418548217686,0.18587360594795538,0.00585070846247462
17,IL,president,2016,17.06361362496803,17.06361362496803,0.929368029739777,0.05446490117309592
18,IN,president,2016,19.16519376165923,-19.16519376165923,0.5111524163568774,0.02667087130522307
19,IA,president,2016,9.409547899181133,-9.409547899181133,0.2788104089219331,0.029630585008892575
20,KS,president,2016,20.602211073605076,-20.602211073605076,0.2788104089219331,0.013533033319862279
21,KY,president,2016,29.837450218252325,-29.837450218252325,0.37174721189591076,0.012459081093615149
22,LA,president,2016,19.639118555054825,-19.639118555054825,0.37174721189591076,0.018928915310215306
23,ME,president,2016,2.868536012810082,2.868536012810082,0.18587360594795538,0.06479737577562063
24,MD,president,2016,26.416439506645105,26.416439506645105,0.4646840148698885,0.017590713341705127
25,MA,president,2016,26.76386230581614,26.76386230581614,0.5111524163568774,0.019098604323853408
26,MI,president,2016,0.22303326912931182,-0.22303326912931182,0.7434944237918215,3.3335583820938974
27,MN,president,2016,1.5198408574896207,1.5198408574896207,0.4646840148698885,0.3057451788981544
28,MS,president,2016,17.82624981705154,-17.82624981705154,0.2788104089219331,0.015640441022835856
29,MO,president,2016,18.63711700292494,-18.63711700292494,0.4646840148698885,0.02493325629693478
30,MT,president,2016,20.530973093426837,-20.530973093426837,0.13940520446096655,0.006789994990816986
31,NE,president,2016,25.048594749990226,-25.048594749990226,0.23234200743494424,0.009275650380947414
32,NV,president,2016,2.417128360516623,2.417128360516623,0.2788104089219331,0.11534778767907128
33,NH,president,2016,0.36759568773713686,0.36759568773713686,0.18587360594795538,0.5056468618883019
34,NJ,president,2016,14.102697799664742,14.102697799664742,0.6505576208178439,0.04613001214798131
35,NM,president,2016,8.213132845391378,8.213132845391378,0.23234200743494424,0.028289084300556263
36,NY,president,2016,23.745540294106036,23.745540294106036,1.3475836431226766,0.05675102046244722
37,NC,president,2016,3.65522852797094,-3.65522852797094,0.6970260223048327,0.19069287103965563
38,ND,president,2016,35.728888372633286,-35.728888372633286,0.13940520446096655,0.0039017503989221404
39,OH,president,2016,8.129574399066167,-8.129574399066167,0.8364312267657992,0.10288745581341613
40,OK,president,2016,36.39118453508347,-36.39118453508347,0.3252788104089219,0.008938395783608857
41,OR,president,2016,10.977816818365332,10.977816818365332,0.3252788104089219,0.02963055549121087
42,PA,president,2016,0.7242696391831641,-0.7242696391831641,0.929368029739777,1.2831796053026938
44,RI,president,2016,15.508549070977972,15.508549070977972,0.18587360594795538,0.011985235053083798
45,SC,president,2016,14.265912896030342,-14.265912896030342,0.4182156133828996,0.02931572738673268
46,SD,president,2016,29.793322219009816,-29.793322219009816,0.13940520446096655,0.0046790755135061165
47,TN,president,2016,26.00570089556452,-26.00570089556452,0.5111524163568774,0.01965539857624289
48,TX,president,2016,8.999427598323424,-8.999427598323424,1.7657992565055762,0.19621239653447975
49,UT,president,2016,18.07954799583141,-18.07954799583141,0.2788104089219331,0.015421315233446005
50,VT,president,2016,25.963359721905842,25.963359721905842,0.13940520446096655,0.00536930528075484
51,VA,president,2016,5.323705819493656,5.323705819493656,0.604089219330855,0.1134715628198086
53,WA,president,2016,15.70599987518914,15.70599987518914,0.5576208178438662,0.03550368154050116
54,WV,president,2016,42.15364679384784,-42.15364679384784,0.23234200743494424,0.005511789017239989
55,WI,president,2016,0.764343195067453,-0.764343195067453,0.4646840148698885,0.6079520533035953
56,WY,president,2016,45.76951017821537,-45.76951017821537,0.13940520446096655,0.0030458094027695838
23,ME,ussenate,2014,36.18354089815817,-36.18354089815817,0.125,0.0034546093858482158
23,ME,ussenate,2018,19.084376167425116,,0.125,0.006549860414791076
29,MO,ussenate,2016,2.792294839046457,-2.792294839046457,0.125,0.04476604628280814
29,MO,ussenate,2018,5.813890166151507,-5.813890166151507,0.125,0.021500234168122148
20,KS,ussenate,2016,29.937126566954348,-29.937126566954348,0.125,0.0041754174276024
20,KS,ussenate,2014,10.61867417232458,,0.125,0.011771714431711931
42,PA,ussenate,2016,1.4324531185143863,-1.4324531185143863,0.125,0.08726289076017996
42,PA,ussenate,2018,12.870429378035627,12.870429378035627,0.125,0.009712185687706897
54,WV,ussenate,2018,3.2485233594836944,3.2485233594836944,0.125,0.038479021440642164
54,WV,ussenate,2014,27.653304356067704,-27.653304356067704,0.125,0.00452025545990754
44,RI,ussenate,2014,41.335382362779185,41.335382362779185,0.125,0.00302404363658572
